"Famille";"Genre";"Espece";"TxCroissance";"Densite";"Hauteur"
"Fagaceae";"Lithocarpus";"Lithocarpus_gracilis";0.027189975;0.49;56.85351623
"Fagaceae";"Lithocarpus";"Lithocarpus_meijeri";0.021809291;0.683908;47.10594309
"Fagaceae";"Lithocarpus";"Lithocarpus_nieuwenhuisii";0.024063305;0.683908;37.35625365
"Lauraceae";"Litsea";"Litsea_firma";0.020601779;0.4075;48.77458962
"Lauraceae";"Litsea";"Litsea_oppositifolia";0.014782583;0.51;22.97883558
"Celastraceae";"Lophopetalum";"Lophopetalum_beccarianum";0.012754713;0.51;45.36125024
"Rutaceae";"Maclurodendron";"Maclurodendron_porteri";0.020798193;0.55;28.71826644
"Sapotaceae";"Madhuca";"Madhuca_burckiana";0.011670187;0.59;24.48588348
"Sapotaceae";"Madhuca";"Madhuca_kingiana";0.017987606;0.6;35.35719703
"Sapotaceae";"Madhuca";"Madhuca_mindanaensis";0.008841765;0.658438068;14.33974179
"Sapotaceae";"Madhuca";"Madhuca_pallida";0.007508613;0.658438068;38.20579583
"Sapotaceae";"Madhuca";"Madhuca_sepilokensis";0.011980639;0.658438068;24.74367678
"Magnoliaceae";"Magnolia";"Magnolia_candollei";0.016432061;0.51;21.7675416
"Euphorbiaceae";"Mallotus";"Mallotus_caudatus";0.021242989;0.467715143;18.30030158
"Euphorbiaceae";"Mallotus";"Mallotus_griffithianus";0.037786883;0.467715143;17.10328499
"Euphorbiaceae";"Mallotus";"Mallotus_penangensis";0.017397682;0.59;23.77051632
"Anacardiaceae";"Mangifera";"Mangifera_foetida";0.009028174;0.525;40.75634201
"Anacardiaceae";"Mangifera";"Mangifera_parvifolia";0.01285262;0.50088556;33.13680668
"Melastomataceae";"Memecylon";"Memecylon_argenteum";0.01198249;0.782722667;19.67736107
"Melastomataceae";"Memecylon";"Memecylon_beccarianum";0.008550582;0.782722667;20.38479649
"Melastomataceae";"Memecylon";"Memecylon_floribundum";0.010257539;0.782722667;23.24408132
"Clusiaceae";"Mesua";"Mesua_macrantha";0.008363761;0.711428571;46.14034997
"Malvaceae";"Microcos";"Microcos_crassifolia";0.014217153;0.494511167;26.70229548
"Sapindaceae";"Mischocarpus";"Mischocarpus_pentapetalus";0.016166583;0.75;42.08064596
"Euphorbiaceae";"Moultonianthus";"Moultonianthus_leembruggianus";0.012073696;0.68;54.5818646
"Myristicaceae";"Myristica";"Myristica_cinnamomea";0.008403125;0.57;37.51620379
"Myristicaceae";"Myristica";"Myristica_malaccensis";0.011207628;0.439583333;38.57478979
"Sapotaceae";"Palaquium";"Palaquium_leiocarpum";0.018003058;0.71;50.18455613
"Sapotaceae";"Palaquium";"Palaquium_rostratum";0.014768037;0.52;62.42580227
"Sapotaceae";"Palaquium";"Palaquium_stenophyllum";0.029937211;0.5;33.47407645
"Sapindaceae";"Paranephelium";"Paranephelium_xestophyllum";0.019933959;0.81;29.07789602
"Moraceae";"Parartocarpus";"Parartocarpus_spinulosus";0.011797252;0.378;45.99472425
"Moraceae";"Parartocarpus";"Parartocarpus_venenosus";0.008827408;0.35;37.51620379
"Dipterocarpaceae";"Parashorea";"Parashorea_malaanonan";0.01387519;0.415;87.28101983
"Dipterocarpaceae";"Parashorea";"Parashorea_tomentella";0.016783511;0.55;76.69426816
"Anacardiaceae";"Parishia";"Parishia_insignis";0.005794989;0.556666667;43.18664907
"Malvaceae";"Pentace";"Pentace_borneensis";0.010742707;0.588956;41.06365954
"Malvaceae";"Pentace";"Pentace_laxiflora";0.023252566;0.588956;43.4362252
"Euphorbiaceae";"Pimelodendron";"Pimelodendron_griffithianum";0.015935106;0.58;30.61375374
"Annonaceae";"Polyalthia";"Polyalthia_lateriflora";0.017732695;0.5;21.9036143
"Annonaceae";"Polyalthia";"Polyalthia_sumatrana";0.012232805;0.52;21.9036143
"Annonaceae";"Polyalthia";"Polyalthia_xanthopetala";0.021489564;0.5421932;32.28674127
"Melastomataceae";"Pternandra";"Pternandra_caerulescens";0.013239792;0.53;29.13763854
"Euphorbiaceae";"Ptychopyxis";"Ptychopyxis_arborea";0.012227755;0.565;34.58742045
"Myrtaceae";"Rhodamnia";"Rhodamnia_cinerea";0.008392823;0.87;26.01496798
"Achariaceae";"Ryparosa";"Ryparosa_hirsuta";0.00610225;0.584444444;31.59933757
"Fabaceae";"Saraca";"Saraca_declinata";0.008096385;0.44;26.95025142
"Oxalidaceae";"Sarcotheca";"Sarcotheca_diversifolia";0.013119632;0.61;47.68101966
"Oxalidaceae";"Sarcotheca";"Sarcotheca_glauca";0.012425758;0.61;34.25513965
"Malvaceae";"Scaphium";"Scaphium_macropodum";0.015521387;0.53;48.77458962
"Dipterocarpaceae";"Shorea";"Shorea_agami";0.01362129;0.53;40.65366991
"Dipterocarpaceae";"Shorea";"Shorea_almon";0.024607949;0.39;73.22771049
"Dipterocarpaceae";"Shorea";"Shorea_beccariana";0.018046351;0.47;76.07636219
"Dipterocarpaceae";"Shorea";"Shorea_falciferoides";0.010653998;0.72;74.05224833
"Dipterocarpaceae";"Shorea";"Shorea_johorensis";0.013730536;0.393333333;80.95863891
"Dipterocarpaceae";"Shorea";"Shorea_leprosula";0.011677329;0.44;66.71777013
"Dipterocarpaceae";"Shorea";"Shorea_macroptera";0.012405165;0.425;57.42599345
"Dipterocarpaceae";"Shorea";"Shorea_mecistopteryx";0.0172985;0.426666667;75.80531409
"Dipterocarpaceae";"Shorea";"Shorea_multiflora";0.015160333;0.51;63.68932455
"Dipterocarpaceae";"Shorea";"Shorea_smithiana";0.013075621;0.355;73.38508791
"Dipterocarpaceae";"Shorea";"Shorea_xanthophylla";0.023481797;0.52;53.63400825
"Fabaceae";"Sindora";"Sindora_irpicina";0.007482593;0.48;60.03563329
"Stemonuraceae";"Stemonurus";"Stemonurus_grandifolius";0.010049347;0.524285714;19.17524606
"Fabaceae";"Sympetalandra";"Sympetalandra_borneensis";0.019645068;0.61;39.56841457
"Symplocaceae";"Symplocos";"Symplocos_crassipes";0.016655646;0.53453125;26.32839509
"Myrtaceae";"Syzygium";"Syzygium_caudatilimbum";0.012934102;0.679089995;35.5211621
"Myrtaceae";"Syzygium";"Syzygium_clavatum";0.007719303;0.607;32.00113511
"Myrtaceae";"Syzygium";"Syzygium_lineatum";0.01119969;0.623;32.40066403
"Myrtaceae";"Syzygium";"Syzygium_myrtillus";0.013683672;0.623;23.04527631
"Myrtaceae";"Syzygium";"Syzygium_napiforme";0.011011666;0.623;43.23661639
"Myrtaceae";"Syzygium";"Syzygium_tawahense";0.004845449;0.69;51.57682909
"Lamiaceae";"Teijsmanniodendron";"Teijsmanniodendron_glabrum";0.004364017;0.545;36.98182547
"Lamiaceae";"Teijsmanniodendron";"Teijsmanniodendron_holophyllum";0.009425769;0.545;47.25000865
"Lamiaceae";"Teijsmanniodendron";"Teijsmanniodendron_pteropodum";0.013581201;0.39;39.36017562
"Euphorbiaceae";"Trigonopleura";"Trigonopleura_malayana";0.016521103;0.5;22.37689573
"Myrtaceae";"Tristaniopsis";"Tristaniopsis_merguensis";0.008918354;0.94;43.53587415
"Rubiaceae";"Urophyllum";"Urophyllum_glabrum";0.013878752;0.48;14.66720282
"Dipterocarpaceae";"Vatica";"Vatica_micrantha";0.008592815;0.75;37.94123941
"Dipterocarpaceae";"Vatica";"Vatica_oblongifolia";0.010791616;0.7;34.97326653
"Dipterocarpaceae";"Vatica";"Vatica_rassak";0.013710554;0.546666667;36.06526214
"Polygalaceae";"Xanthophyllum";"Xanthophyllum_affine";0.011739301;0.613333333;36.38994561
"Polygalaceae";"Xanthophyllum";"Xanthophyllum_heterophyllum";0.011392281;0.7094945;30.14496523
"Polygalaceae";"Xanthophyllum";"Xanthophyllum_rufum";0.017541422;0.74;14.42192163
"Annonaceae";"Xylopia";"Xylopia_dehiscens";0.04838467;0.53625;36.98182547
"Annonaceae";"Xylopia";"Xylopia_ferruginea";0.021704632;0.35;36.38994561
"Annonaceae";"Xylopia";"Xylopia_stenopetala";0.011820618;0.53625;33.69807127
